Ventana,Feature,bin,limite_inferior,limite_superior,n_referencia,n_produccion,E_i,A_i,contribucion_psi
W2,r_mean,8,0.47506269812583923,0.49674575328826903,50,68,0.1,0.136,0.011069449190926587
W2,r_mean,9,0.49674575328826903,0.514967268705368,50,54,0.1,0.108,0.000615688329089025
W2,r_mean,10,0.514967268705368,inf,50,79,0.1,0.158,0.026530641128254765
W2,g_mean,1,-inf,0.39802974462509155,50,64,0.1,0.12799999999999997,0.006912082182082706
W2,g_mean,2,0.39802974462509155,0.4167040944099426,50,44,0.1,0.08799999999999998,0.0015340004581186248
W2,g_mean,3,0.4167040944099426,0.4348749309778214,50,61,0.1,0.12199999999999997,0.004374718892393619
W2,g_mean,4,0.4348749309778214,0.4472420334815979,50,47,0.1,0.09399999999999997,0.0003712524223085286
W2,g_mean,5,0.4472420334815979,0.45988763868808746,50,45,0.1,0.08999999999999998,0.0010536051565782675
W2,g_mean,6,0.45988763868808746,0.47063560485839845,50,47,0.1,0.09399999999999997,0.0003712524223085286
W2,g_mean,7,0.47063560485839845,0.48557070195674895,50,58,0.1,0.11599999999999998,0.0023747200818923643
W2,g_mean,8,0.48557070195674895,0.5022579789161683,50,53,0.1,0.10599999999999997,0.0003496134487438503
W2,g_mean,9,0.5022579789161683,0.523125171661377,50,25,0.1,0.04999999999999999,0.034657359027997284
W2,g_mean,10,0.523125171661377,inf,50,56,0.1,0.11199999999999997,0.001359944223684031
W2,b_mean,1,-inf,0.32209615409374237,50,44,0.1,0.088,0.0015340004581186216
W2,b_mean,2,0.32209615409374237,0.3517120063304901,50,55,0.1,0.11,0.000953101798043247
W2,b_mean,3,0.3517120063304901,0.3703833550214768,50,45,0.1,0.09,0.001053605156578265
W2,b_mean,4,0.3703833550214768,0.3842268347740173,50,35,0.1,0.07,0.010700248318161968
W2,b_mean,5,0.3842268347740173,0.39924977719783783,50,42,0.1,0.084,0.002789654194316445
W2,b_mean,6,0.39924977719783783,0.41371705532073977,50,41,0.1,0.082,0.00357211689702909
W2,b_mean,7,0.41371705532073977,0.4304528832435608,50,31,0.1,0.062,0.018165360435833996
W2,b_mean,8,0.4304528832435608,0.4509573042392731,50,69,0.1,0.138,0.012239172968426311
W2,b_mean,9,0.4509573042392731,0.4780917286872864,50,82,0.1,0.164,0.03166055947751085
W2,b_mean,10,0.4780917286872864,inf,50,56,0.1,0.112,0.0013599442236840364
W2,r_std,1,-inf,0.10037743151187897,50,52,0.1,0.104,0.00015688285261312404
W2,r_std,2,0.10037743151187897,0.11878091990947724,50,48,0.1,0.096,0.0001632879780810208
W2,r_std,3,0.11878091990947724,0.14416560977697374,50,53,0.1,0.106,0.0003496134487438532
W2,r_std,4,0.14416560977697374,0.15985524654388428,50,27,0.1,0.054,0.028344562413495592
W2,r_std,5,0.15985524654388428,0.16958289593458176,50,43,0.1,0.086,0.0021115204562841745
W2,r_std,6,0.16958289593458176,0.18252760469913484,50,67,0.1,0.134,0.009950766874735882
W2,r_std,7,0.18252760469913484,0.19229528158903123,50,47,0.1,0.094,0.0003712524223085255
W2,r_std,8,0.19229528158903123,0.20455068945884705,50,45,0.1,0.09,0.001053605156578265
W2,r_std,9,0.20455068945884705,0.2198264256119728,50,55,0.1,0.11,0.000953101798043247
W2,r_std,10,0.2198264256119728,inf,50,63,0.1,0.126,0.006008904745048052
W2,g_std,1,-inf,0.0958118349313736,50,18,0.1,0.036,0.06538567984204682
W2,g_std,2,0.0958118349313736,0.10595177263021469,50,49,0.1,0.098,4.040541463503897e-05
W2,g_std,3,0.10595177263021469,0.1151866726577282,50,35,0.1,0.07,0.010700248318161968
W2,g_std,4,0.1151866726577282,0.12553602159023286,50,56,0.1,0.112,0.0013599442236840364
W2,g_std,5,0.12553602159023286,0.13885176181793213,50,73,0.1,0.146,0.01740807604313126
W2,g_std,6,0.13885176181793213,0.15363897383213046,50,65,0.1,0.13,0.007870927934024732
W2,g_std,7,0.15363897383213046,0.16894653886556626,50,49,0.1,0.098,4.040541463503897e-05
W2,g_std,8,0.16894653886556626,0.1819726198911667,50,51,0.1,0.102,3.960525459235878e-05
W2,g_std,9,0.1819726198911667,0.1970553368330002,50,34,0.1,0.068,0.012341199385983508
W2,g_std,10,0.1970553368330002,inf,50,70,0.1,0.14,0.013458889464848522
W2,b_std,1,-inf,0.13042483180761338,50,50,0.1,0.1,0.0
